id,title,context,question,answers,answer_start
377,Test_377,"GETTING STARTED Place the machine on a flat surface. When starting the machine for the first time, fill the tank with cold water. Start the machine with the ON/OFF switch. Let a full tank of water pass through the machine once or twice to clean it, without using paper filter or coffee. Making coffee: open the lid and fill the water tank with fresh cold water up to the desired level. There is a water-level indicator for 2–10 big cups / 3–15 small cups inside the water tank. Insert paper filter into filter basket and fill it with ground coffee. There is a gauge for recommended number of spoons of coffee next to the water gauge. For medium-strength coffee, one measuring spoon (approx. 6-7 g) per cup is sufficient. Close the water tank lid and place the jug (complete with lid) onto the warming plate. Start the machine with the ON/OFF switch. The power indicator light will come on and hot water will flow into the filter. When water has stopped flowing, the warming plate keeps the coffee hot until the machine is turned off with the ON/OFF switch. If the machine is not turned off manually, the Safety Auto-Off function turns it off after 40 minutes. If the jug is removed, the filter valve prevents coffee from dripping onto the warming plate. While boiling, the jug must not be removed for longer than 30 seconds or the filter will overflow. The Aroma Selector extends the brewing time to maximize the flavour extraction and get a stronger coffee for a small number of cups (normally less than 6). Press the Aroma button, and the aroma icon will turn on.",What is the water-level indicator inside the water tank used for?,['There is a water-level indicator for 2–10 big cups / 3–15 small cups inside the water tank'],386
378,Test_378,"GETTING STARTED Place the machine on a flat surface. When starting the machine for the first time, fill the tank with cold water. Start the machine with the ON/OFF switch. Let a full tank of water pass through the machine once or twice to clean it, without using paper filter or coffee. Making coffee: open the lid and fill the water tank with fresh cold water up to the desired level. There is a water-level indicator for 2–10 big cups / 3–15 small cups inside the water tank. Insert paper filter into filter basket and fill it with ground coffee. There is a gauge for recommended number of spoons of coffee next to the water gauge. For medium-strength coffee, one measuring spoon (approx. 6-7 g) per cup is sufficient. Close the water tank lid and place the jug (complete with lid) onto the warming plate. Start the machine with the ON/OFF switch. The power indicator light will come on and hot water will flow into the filter. When water has stopped flowing, the warming plate keeps the coffee hot until the machine is turned off with the ON/OFF switch. If the machine is not turned off manually, the Safety Auto-Off function turns it off after 40 minutes. If the jug is removed, the filter valve prevents coffee from dripping onto the warming plate. While boiling, the jug must not be removed for longer than 30 seconds or the filter will overflow. The Aroma Selector extends the brewing time to maximize the flavour extraction and get a stronger coffee for a small number of cups (normally less than 6). Press the Aroma button, and the aroma icon will turn on.",How much ground coffee should be used in the filter basket?,"['For medium-strength coffee, one measuring spoon (approx. 6-7 g) per cup is sufficient']",634
379,Test_379,"GETTING STARTED Place the machine on a flat surface. When starting the machine for the first time, fill the tank with cold water. Start the machine with the ON/OFF switch. Let a full tank of water pass through the machine once or twice to clean it, without using paper filter or coffee. Making coffee: open the lid and fill the water tank with fresh cold water up to the desired level. There is a water-level indicator for 2–10 big cups / 3–15 small cups inside the water tank. Insert paper filter into filter basket and fill it with ground coffee. There is a gauge for recommended number of spoons of coffee next to the water gauge. For medium-strength coffee, one measuring spoon (approx. 6-7 g) per cup is sufficient. Close the water tank lid and place the jug (complete with lid) onto the warming plate. Start the machine with the ON/OFF switch. The power indicator light will come on and hot water will flow into the filter. When water has stopped flowing, the warming plate keeps the coffee hot until the machine is turned off with the ON/OFF switch. If the machine is not turned off manually, the Safety Auto-Off function turns it off after 40 minutes. If the jug is removed, the filter valve prevents coffee from dripping onto the warming plate. While boiling, the jug must not be removed for longer than 30 seconds or the filter will overflow. The Aroma Selector extends the brewing time to maximize the flavour extraction and get a stronger coffee for a small number of cups (normally less than 6). Press the Aroma button, and the aroma icon will turn on.",How is the strength of the coffee adjusted?,['The Aroma Selector extends the brewing time to maximize the flavour extraction and get a stronger coffee for a small number of cups (normally less than 6).'],1353
380,Test_380,"GETTING STARTED Place the machine on a flat surface. When starting the machine for the first time, fill the tank with cold water. Start the machine with the ON/OFF switch. Let a full tank of water pass through the machine once or twice to clean it, without using paper filter or coffee. Making coffee: open the lid and fill the water tank with fresh cold water up to the desired level. There is a water-level indicator for 2–10 big cups / 3–15 small cups inside the water tank. Insert paper filter into filter basket and fill it with ground coffee. There is a gauge for recommended number of spoons of coffee next to the water gauge. For medium-strength coffee, one measuring spoon (approx. 6-7 g) per cup is sufficient. Close the water tank lid and place the jug (complete with lid) onto the warming plate. Start the machine with the ON/OFF switch. The power indicator light will come on and hot water will flow into the filter. When water has stopped flowing, the warming plate keeps the coffee hot until the machine is turned off with the ON/OFF switch. If the machine is not turned off manually, the Safety Auto-Off function turns it off after 40 minutes. If the jug is removed, the filter valve prevents coffee from dripping onto the warming plate. While boiling, the jug must not be removed for longer than 30 seconds or the filter will overflow. The Aroma Selector extends the brewing time to maximize the flavour extraction and get a stronger coffee for a small number of cups (normally less than 6). Press the Aroma button, and the aroma icon will turn on.",How long will the coffee stay hot on the warming plate?,['the warming plate keeps the coffee hot until the machine is turned off with the ON/OFF switch.'],962
381,Test_381,"GETTING STARTED Place the machine on a flat surface. When starting the machine for the first time, fill the tank with cold water. Start the machine with the ON/OFF switch. Let a full tank of water pass through the machine once or twice to clean it, without using paper filter or coffee. Making coffee: open the lid and fill the water tank with fresh cold water up to the desired level. There is a water-level indicator for 2–10 big cups / 3–15 small cups inside the water tank. Insert paper filter into filter basket and fill it with ground coffee. There is a gauge for recommended number of spoons of coffee next to the water gauge. For medium-strength coffee, one measuring spoon (approx. 6-7 g) per cup is sufficient. Close the water tank lid and place the jug (complete with lid) onto the warming plate. Start the machine with the ON/OFF switch. The power indicator light will come on and hot water will flow into the filter. When water has stopped flowing, the warming plate keeps the coffee hot until the machine is turned off with the ON/OFF switch. If the machine is not turned off manually, the Safety Auto-Off function turns it off after 40 minutes. If the jug is removed, the filter valve prevents coffee from dripping onto the warming plate. While boiling, the jug must not be removed for longer than 30 seconds or the filter will overflow. The Aroma Selector extends the brewing time to maximize the flavour extraction and get a stronger coffee for a small number of cups (normally less than 6). Press the Aroma button, and the aroma icon will turn on.",What is the Safety Auto-Off function and when does it activate?,"['If the machine is not turned off manually, the Safety Auto-Off function turns it off after 40 minutes.']",1057
382,Test_382,"GETTING STARTED Place the machine on a flat surface. When starting the machine for the first time, fill the tank with cold water. Start the machine with the ON/OFF switch. Let a full tank of water pass through the machine once or twice to clean it, without using paper filter or coffee. Making coffee: open the lid and fill the water tank with fresh cold water up to the desired level. There is a water-level indicator for 2–10 big cups / 3–15 small cups inside the water tank. Insert paper filter into filter basket and fill it with ground coffee. There is a gauge for recommended number of spoons of coffee next to the water gauge. For medium-strength coffee, one measuring spoon (approx. 6-7 g) per cup is sufficient. Close the water tank lid and place the jug (complete with lid) onto the warming plate. Start the machine with the ON/OFF switch. The power indicator light will come on and hot water will flow into the filter. When water has stopped flowing, the warming plate keeps the coffee hot until the machine is turned off with the ON/OFF switch. If the machine is not turned off manually, the Safety Auto-Off function turns it off after 40 minutes. If the jug is removed, the filter valve prevents coffee from dripping onto the warming plate. While boiling, the jug must not be removed for longer than 30 seconds or the filter will overflow. The Aroma Selector extends the brewing time to maximize the flavour extraction and get a stronger coffee for a small number of cups (normally less than 6). Press the Aroma button, and the aroma icon will turn on.",What happens if the jug is removed while the machine is brewing coffee?,"['While boiling, the jug must not be removed for longer than 30 seconds or the filter will overflow.']",1254
383,Test_383,"GETTING STARTED Place the machine on a flat surface. When starting the machine for the first time, fill the tank with cold water. Start the machine with the ON/OFF switch. Let a full tank of water pass through the machine once or twice to clean it, without using paper filter or coffee. Making coffee: open the lid and fill the water tank with fresh cold water up to the desired level. There is a water-level indicator for 2–10 big cups / 3–15 small cups inside the water tank. Insert paper filter into filter basket and fill it with ground coffee. There is a gauge for recommended number of spoons of coffee next to the water gauge. For medium-strength coffee, one measuring spoon (approx. 6-7 g) per cup is sufficient. Close the water tank lid and place the jug (complete with lid) onto the warming plate. Start the machine with the ON/OFF switch. The power indicator light will come on and hot water will flow into the filter. When water has stopped flowing, the warming plate keeps the coffee hot until the machine is turned off with the ON/OFF switch. If the machine is not turned off manually, the Safety Auto-Off function turns it off after 40 minutes. If the jug is removed, the filter valve prevents coffee from dripping onto the warming plate. While boiling, the jug must not be removed for longer than 30 seconds or the filter will overflow. The Aroma Selector extends the brewing time to maximize the flavour extraction and get a stronger coffee for a small number of cups (normally less than 6). Press the Aroma button, and the aroma icon will turn on.",What is the Aroma Selector and how is it used?,['The Aroma Selector extends the brewing time to maximize the flavour extraction and get a stronger coffee for a small number of cups (normally less than 6).'],1353
384,Test_384,"CLEANING AND CARE Switch the machine off and unplug the power cord. Wipe all outer surfaces with a damp cloth. Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive cleaners, and never immerse the machine in liquid! To clean the filter holder (E), lift up the handle and remove the filter holder. To clean the filter valve thoroughly, rotate it several times while it is being rinsed. Decalcifying is recommended regularly, depending on water hardness. Fill the tank with water and decalcifier according to product instructions, then follow steps 9 and 10. Place the coffee jug (F) with its lid onto the warming plate (G). Allow the decalcifier to take effect for about 15 minutes, then switch the machine on. Switch it off when the solution has finished flowing through. If necessary repeat the decalcifying process. Allow the machine to run at least twice with plain water. Then thoroughly rinse the coffee jug (F), jug lid and filter holder (E) under running water, activate the filter valve repeatedly during the rinse process",How should the outer surfaces of the machine be cleaned?,['Wipe all outer surfaces with a damp cloth.'],68
385,Test_385,"CLEANING AND CARE Switch the machine off and unplug the power cord. Wipe all outer surfaces with a damp cloth. Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive cleaners, and never immerse the machine in liquid! To clean the filter holder (E), lift up the handle and remove the filter holder. To clean the filter valve thoroughly, rotate it several times while it is being rinsed. Decalcifying is recommended regularly, depending on water hardness. Fill the tank with water and decalcifier according to product instructions, then follow steps 9 and 10. Place the coffee jug (F) with its lid onto the warming plate (G). Allow the decalcifier to take effect for about 15 minutes, then switch the machine on. Switch it off when the solution has finished flowing through. If necessary repeat the decalcifying process. Allow the machine to run at least twice with plain water. Then thoroughly rinse the coffee jug (F), jug lid and filter holder (E) under running water, activate the filter valve repeatedly during the rinse process",Can the coffee jug and lid be washed in the dishwasher?,['Coffee jug (F) and jug lid are dishwasher proof.'],111
386,Test_386,"CLEANING AND CARE Switch the machine off and unplug the power cord. Wipe all outer surfaces with a damp cloth. Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive cleaners, and never immerse the machine in liquid! To clean the filter holder (E), lift up the handle and remove the filter holder. To clean the filter valve thoroughly, rotate it several times while it is being rinsed. Decalcifying is recommended regularly, depending on water hardness. Fill the tank with water and decalcifier according to product instructions, then follow steps 9 and 10. Place the coffee jug (F) with its lid onto the warming plate (G). Allow the decalcifier to take effect for about 15 minutes, then switch the machine on. Switch it off when the solution has finished flowing through. If necessary repeat the decalcifying process. Allow the machine to run at least twice with plain water. Then thoroughly rinse the coffee jug (F), jug lid and filter holder (E) under running water, activate the filter valve repeatedly during the rinse process",What cleaners should not be used to clean the machine?,['Never use caustic or abrasive cleaners'],160
387,Test_387,"CLEANING AND CARE Switch the machine off and unplug the power cord. Wipe all outer surfaces with a damp cloth. Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive cleaners, and never immerse the machine in liquid! To clean the filter holder (E), lift up the handle and remove the filter holder. To clean the filter valve thoroughly, rotate it several times while it is being rinsed. Decalcifying is recommended regularly, depending on water hardness. Fill the tank with water and decalcifier according to product instructions, then follow steps 9 and 10. Place the coffee jug (F) with its lid onto the warming plate (G). Allow the decalcifier to take effect for about 15 minutes, then switch the machine on. Switch it off when the solution has finished flowing through. If necessary repeat the decalcifying process. Allow the machine to run at least twice with plain water. Then thoroughly rinse the coffee jug (F), jug lid and filter holder (E) under running water, activate the filter valve repeatedly during the rinse process",How do you remove the filter holder for cleaning?,['lift up the handle and remove the filter holder.'],273
388,Test_388,"CLEANING AND CARE Switch the machine off and unplug the power cord. Wipe all outer surfaces with a damp cloth. Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive cleaners, and never immerse the machine in liquid! To clean the filter holder (E), lift up the handle and remove the filter holder. To clean the filter valve thoroughly, rotate it several times while it is being rinsed. Decalcifying is recommended regularly, depending on water hardness. Fill the tank with water and decalcifier according to product instructions, then follow steps 9 and 10. Place the coffee jug (F) with its lid onto the warming plate (G). Allow the decalcifier to take effect for about 15 minutes, then switch the machine on. Switch it off when the solution has finished flowing through. If necessary repeat the decalcifying process. Allow the machine to run at least twice with plain water. Then thoroughly rinse the coffee jug (F), jug lid and filter holder (E) under running water, activate the filter valve repeatedly during the rinse process",How often should the machine be decalcified?,"['Decalcifying is recommended regularly, depending on water hardness']",410
389,Test_389,"CLEANING AND CARE Switch the machine off and unplug the power cord. Wipe all outer surfaces with a damp cloth. Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive cleaners, and never immerse the machine in liquid! To clean the filter holder (E), lift up the handle and remove the filter holder. To clean the filter valve thoroughly, rotate it several times while it is being rinsed. Decalcifying is recommended regularly, depending on water hardness. Fill the tank with water and decalcifier according to product instructions, then follow steps 9 and 10. Place the coffee jug (F) with its lid onto the warming plate (G). Allow the decalcifier to take effect for about 15 minutes, then switch the machine on. Switch it off when the solution has finished flowing through. If necessary repeat the decalcifying process. Allow the machine to run at least twice with plain water. Then thoroughly rinse the coffee jug (F), jug lid and filter holder (E) under running water, activate the filter valve repeatedly during the rinse process",How do you decalcify the machine?,"['Fill the tank with water and decalcifier according to product instructions, then follow steps 9 and 10. Place the coffee jug (F) with its lid onto the warming plate (G). Allow the decalcifier to take effect for about 15 minutes, then switch the machine on. Switch it off when the solution has finished flowing through.']",478
390,Test_390,"CLEANING AND CARE Switch the machine off and unplug the power cord. Wipe all outer surfaces with a damp cloth. Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive cleaners, and never immerse the machine in liquid! To clean the filter holder (E), lift up the handle and remove the filter holder. To clean the filter valve thoroughly, rotate it several times while it is being rinsed. Decalcifying is recommended regularly, depending on water hardness. Fill the tank with water and decalcifier according to product instructions, then follow steps 9 and 10. Place the coffee jug (F) with its lid onto the warming plate (G). Allow the decalcifier to take effect for about 15 minutes, then switch the machine on. Switch it off when the solution has finished flowing through. If necessary repeat the decalcifying process. Allow the machine to run at least twice with plain water. Then thoroughly rinse the coffee jug (F), jug lid and filter holder (E) under running water, activate the filter valve repeatedly during the rinse process","How do you rinse the coffee jug, lid, and filter holder after decalcifying?","['Allow the machine to run at least twice with plain water. Then thoroughly rinse the coffee jug (F), jug lid and filter holder (E) under running water, activate the filter valve repeatedly during the rinse process']",843
391,Test_391,"CLEANING AND CARE Switch the machine off and unplug the power cord. Wipe all outer surfaces with a damp cloth. Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive cleaners, and never immerse the machine in liquid! To clean the filter holder (E), lift up the handle and remove the filter holder. To clean the filter valve thoroughly, rotate it several times while it is being rinsed. Decalcifying is recommended regularly, depending on water hardness. Fill the tank with water and decalcifier according to product instructions, then follow steps 9 and 10. Place the coffee jug (F) with its lid onto the warming plate (G). Allow the decalcifier to take effect for about 15 minutes, then switch the machine on. Switch it off when the solution has finished flowing through. If necessary repeat the decalcifying process. Allow the machine to run at least twice with plain water. Then thoroughly rinse the coffee jug (F), jug lid and filter holder (E) under running water, activate the filter valve repeatedly during the rinse process",How many times should the machine be run with plain water after decalcifying?,['Allow the machine to run at least twice with plain water'],843
392,Test_392,"SAFETY ADVICE
This appliance is not intended for use by persons (including children) with 
reduced physical, sensory or mental capabilities, or lack of experience and 
knowledge, unless they have been given supervision or instruction concerning 
use of the appliance by a person responsible for their safety. 
Children should be supervised to ensure that they do not play with the appliance.
This appliance can be used by children aged from 8 years and above and persons 
with reduced physical, sensory or mental capabilities or lack of experience and 
knowledge if they have been given supervision or instruction concerning use of 
the appliance in a safe way and understand the hazards involved. Children shall 
not play with the appliance. 
Cleaning and user maintenance shall not be made by children without supervision.
CLEANING AND CARE
Switch the machine off and unplug the power cord. Wipe all outer surfaces 
with a damp cloth.
Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive 
cleaners, and never immerse the machine in liquid!
To clean the filter holder (E), lift up the handle and remove the filter holder. 
To clean the filter valve thoroughly, rotate it several times while it is being rinsed.
Decalcifying is recommended regularly, depending on water hardness. Fill the 
tank with water and decalcifier according to product instructions, then follow 
steps 9 and 10.
Place the coffee jug (F) with its lid onto the warming plate (G). Allow the 
decalcifier to take effect for about 15 minutes, then switch the machine on. 
Switch it off when the solution has finished flowing through. If necessary repeat 
the decalcifying process.
Allow the machine to run at least twice with plain water. Then thoroughly rinse 
the coffee jug (F), jug lid and filter holder (E) under running water, activate the 
filter valve repeatedly during the rinse process.
The appliance may only be connected to a power supply whose voltage and 
frequency comply with the specifications on the rating plate! Never use or pick up 
the appliance if – the supply cord is damaged, – the housing is damaged. 
The appliance must only be connected to an earthed socket.
If necessary an extension cable suitable for 10 A can be used. If the appliance or 
the supply cord is damaged, it must be replaced by the manufacturer, its service 
agent or similarly qualified person, in order to avoid hazard.
Always place the appliance on a flat, level surface.
Never leave the appliance unattended while connected to the supply mains.
The appliance must be switched off and the mains plug withdrawn each time after 
use, before cleaning and maintenance.
The appliance and accessories become hot during operation. Use only designated 
handles and knobs. Allow to cool down before or storage. The mains cable must 
not come into contact with any hot parts of the appliance.
Do not immerse the appliance in water or any other liquid. Do not exceed the 
maximum filling volume as indicated on the appliances. Do not use or place the 
appliance on a hot surface or near source of heat.
This appliance is intended to be used in household and similar applications such as:
– staff kitchen areas in shops, offices and other working environments,
– farm houses,
– by clients in hotels, motels and other residential type environments,
– bed and breakfast type environments.
The coffee maker shall not be placed in a cabinet when in use.
No action is needed to adapt the product to 50 or 60Hz.
The product will adjust itself.",Who should not use the appliance without supervision or instruction?,"['persons (including children) with\\nreduced physical, sensory or mental capabilities, or lack of experience and\\nknowledge']",56
393,Test_393,"SAFETY ADVICE
This appliance is not intended for use by persons (including children) with 
reduced physical, sensory or mental capabilities, or lack of experience and 
knowledge, unless they have been given supervision or instruction concerning 
use of the appliance by a person responsible for their safety. 
Children should be supervised to ensure that they do not play with the appliance.
This appliance can be used by children aged from 8 years and above and persons 
with reduced physical, sensory or mental capabilities or lack of experience and 
knowledge if they have been given supervision or instruction concerning use of 
the appliance in a safe way and understand the hazards involved. Children shall 
not play with the appliance. 
Cleaning and user maintenance shall not be made by children without supervision.
CLEANING AND CARE
Switch the machine off and unplug the power cord. Wipe all outer surfaces 
with a damp cloth.
Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive 
cleaners, and never immerse the machine in liquid!
To clean the filter holder (E), lift up the handle and remove the filter holder. 
To clean the filter valve thoroughly, rotate it several times while it is being rinsed.
Decalcifying is recommended regularly, depending on water hardness. Fill the 
tank with water and decalcifier according to product instructions, then follow 
steps 9 and 10.
Place the coffee jug (F) with its lid onto the warming plate (G). Allow the 
decalcifier to take effect for about 15 minutes, then switch the machine on. 
Switch it off when the solution has finished flowing through. If necessary repeat 
the decalcifying process.
Allow the machine to run at least twice with plain water. Then thoroughly rinse 
the coffee jug (F), jug lid and filter holder (E) under running water, activate the 
filter valve repeatedly during the rinse process.
The appliance may only be connected to a power supply whose voltage and 
frequency comply with the specifications on the rating plate! Never use or pick up 
the appliance if – the supply cord is damaged, – the housing is damaged. 
The appliance must only be connected to an earthed socket.
If necessary an extension cable suitable for 10 A can be used. If the appliance or 
the supply cord is damaged, it must be replaced by the manufacturer, its service 
agent or similarly qualified person, in order to avoid hazard.
Always place the appliance on a flat, level surface.
Never leave the appliance unattended while connected to the supply mains.
The appliance must be switched off and the mains plug withdrawn each time after 
use, before cleaning and maintenance.
The appliance and accessories become hot during operation. Use only designated 
handles and knobs. Allow to cool down before or storage. The mains cable must 
not come into contact with any hot parts of the appliance.
Do not immerse the appliance in water or any other liquid. Do not exceed the 
maximum filling volume as indicated on the appliances. Do not use or place the 
appliance on a hot surface or near source of heat.
This appliance is intended to be used in household and similar applications such as:
– staff kitchen areas in shops, offices and other working environments,
– farm houses,
– by clients in hotels, motels and other residential type environments,
– bed and breakfast type environments.
The coffee maker shall not be placed in a cabinet when in use.
No action is needed to adapt the product to 50 or 60Hz.
The product will adjust itself.",Who should be supervised when using the appliance?,['Children'],310
394,Test_394,"SAFETY ADVICE
This appliance is not intended for use by persons (including children) with 
reduced physical, sensory or mental capabilities, or lack of experience and 
knowledge, unless they have been given supervision or instruction concerning 
use of the appliance by a person responsible for their safety. 
Children should be supervised to ensure that they do not play with the appliance.
This appliance can be used by children aged from 8 years and above and persons 
with reduced physical, sensory or mental capabilities or lack of experience and 
knowledge if they have been given supervision or instruction concerning use of 
the appliance in a safe way and understand the hazards involved. Children shall 
not play with the appliance. 
Cleaning and user maintenance shall not be made by children without supervision.
CLEANING AND CARE
Switch the machine off and unplug the power cord. Wipe all outer surfaces 
with a damp cloth.
Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive 
cleaners, and never immerse the machine in liquid!
To clean the filter holder (E), lift up the handle and remove the filter holder. 
To clean the filter valve thoroughly, rotate it several times while it is being rinsed.
Decalcifying is recommended regularly, depending on water hardness. Fill the 
tank with water and decalcifier according to product instructions, then follow 
steps 9 and 10.
Place the coffee jug (F) with its lid onto the warming plate (G). Allow the 
decalcifier to take effect for about 15 minutes, then switch the machine on. 
Switch it off when the solution has finished flowing through. If necessary repeat 
the decalcifying process.
Allow the machine to run at least twice with plain water. Then thoroughly rinse 
the coffee jug (F), jug lid and filter holder (E) under running water, activate the 
filter valve repeatedly during the rinse process.
The appliance may only be connected to a power supply whose voltage and 
frequency comply with the specifications on the rating plate! Never use or pick up 
the appliance if – the supply cord is damaged, – the housing is damaged. 
The appliance must only be connected to an earthed socket.
If necessary an extension cable suitable for 10 A can be used. If the appliance or 
the supply cord is damaged, it must be replaced by the manufacturer, its service 
agent or similarly qualified person, in order to avoid hazard.
Always place the appliance on a flat, level surface.
Never leave the appliance unattended while connected to the supply mains.
The appliance must be switched off and the mains plug withdrawn each time after 
use, before cleaning and maintenance.
The appliance and accessories become hot during operation. Use only designated 
handles and knobs. Allow to cool down before or storage. The mains cable must 
not come into contact with any hot parts of the appliance.
Do not immerse the appliance in water or any other liquid. Do not exceed the 
maximum filling volume as indicated on the appliances. Do not use or place the 
appliance on a hot surface or near source of heat.
This appliance is intended to be used in household and similar applications such as:
– staff kitchen areas in shops, offices and other working environments,
– farm houses,
– by clients in hotels, motels and other residential type environments,
– bed and breakfast type environments.
The coffee maker shall not be placed in a cabinet when in use.
No action is needed to adapt the product to 50 or 60Hz.
The product will adjust itself.",At what age can children use the appliance with supervision or instruction?,['This appliance can be used by children aged from 8 years and above'],392
395,Test_395,"SAFETY ADVICE
This appliance is not intended for use by persons (including children) with 
reduced physical, sensory or mental capabilities, or lack of experience and 
knowledge, unless they have been given supervision or instruction concerning 
use of the appliance by a person responsible for their safety. 
Children should be supervised to ensure that they do not play with the appliance.
This appliance can be used by children aged from 8 years and above and persons 
with reduced physical, sensory or mental capabilities or lack of experience and 
knowledge if they have been given supervision or instruction concerning use of 
the appliance in a safe way and understand the hazards involved. Children shall 
not play with the appliance. 
Cleaning and user maintenance shall not be made by children without supervision.
CLEANING AND CARE
Switch the machine off and unplug the power cord. Wipe all outer surfaces 
with a damp cloth.
Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive 
cleaners, and never immerse the machine in liquid!
To clean the filter holder (E), lift up the handle and remove the filter holder. 
To clean the filter valve thoroughly, rotate it several times while it is being rinsed.
Decalcifying is recommended regularly, depending on water hardness. Fill the 
tank with water and decalcifier according to product instructions, then follow 
steps 9 and 10.
Place the coffee jug (F) with its lid onto the warming plate (G). Allow the 
decalcifier to take effect for about 15 minutes, then switch the machine on. 
Switch it off when the solution has finished flowing through. If necessary repeat 
the decalcifying process.
Allow the machine to run at least twice with plain water. Then thoroughly rinse 
the coffee jug (F), jug lid and filter holder (E) under running water, activate the 
filter valve repeatedly during the rinse process.
The appliance may only be connected to a power supply whose voltage and 
frequency comply with the specifications on the rating plate! Never use or pick up 
the appliance if – the supply cord is damaged, – the housing is damaged. 
The appliance must only be connected to an earthed socket.
If necessary an extension cable suitable for 10 A can be used. If the appliance or 
the supply cord is damaged, it must be replaced by the manufacturer, its service 
agent or similarly qualified person, in order to avoid hazard.
Always place the appliance on a flat, level surface.
Never leave the appliance unattended while connected to the supply mains.
The appliance must be switched off and the mains plug withdrawn each time after 
use, before cleaning and maintenance.
The appliance and accessories become hot during operation. Use only designated 
handles and knobs. Allow to cool down before or storage. The mains cable must 
not come into contact with any hot parts of the appliance.
Do not immerse the appliance in water or any other liquid. Do not exceed the 
maximum filling volume as indicated on the appliances. Do not use or place the 
appliance on a hot surface or near source of heat.
This appliance is intended to be used in household and similar applications such as:
– staff kitchen areas in shops, offices and other working environments,
– farm houses,
– by clients in hotels, motels and other residential type environments,
– bed and breakfast type environments.
The coffee maker shall not be placed in a cabinet when in use.
No action is needed to adapt the product to 50 or 60Hz.
The product will adjust itself.",What should be done to ensure children do not play with the appliance?,['Children should be supervised to ensure that they do not play with the appliance.'],310
396,Test_396,"SAFETY ADVICE
This appliance is not intended for use by persons (including children) with 
reduced physical, sensory or mental capabilities, or lack of experience and 
knowledge, unless they have been given supervision or instruction concerning 
use of the appliance by a person responsible for their safety. 
Children should be supervised to ensure that they do not play with the appliance.
This appliance can be used by children aged from 8 years and above and persons 
with reduced physical, sensory or mental capabilities or lack of experience and 
knowledge if they have been given supervision or instruction concerning use of 
the appliance in a safe way and understand the hazards involved. Children shall 
not play with the appliance. 
Cleaning and user maintenance shall not be made by children without supervision.
CLEANING AND CARE
Switch the machine off and unplug the power cord. Wipe all outer surfaces 
with a damp cloth.
Coffee jug (F) and jug lid are dishwasher proof. Never use caustic or abrasive 
cleaners, and never immerse the machine in liquid!
To clean the filter holder (E), lift up the handle and remove the filter holder. 
To clean the filter valve thoroughly, rotate it several times while it is being rinsed.
Decalcifying is recommended regularly, depending on water hardness. Fill the 
tank with water and decalcifier according to product instructions, then follow 
steps 9 and 10.
Place the coffee jug (F) with its lid onto the warming plate (G). Allow the 
decalcifier to take effect for about 15 minutes, then switch the machine on. 
Switch it off when the solution has finished flowing through. If necessary repeat 
the decalcifying process.
Allow the machine to run at least twice with plain water. Then thoroughly rinse 
the coffee jug (F), jug lid and filter holder (E) under running water, activate the 
filter valve repeatedly during the rinse process.
The appliance may only be connected to a power supply whose voltage and 
frequency comply with the specifications on the rating plate! Never use or pick up 
the appliance if – the supply cord is damaged, – the housing is damaged. 
The appliance must only be connected to an earthed socket.
If necessary an extension cable suitable for 10 A can be used. If the appliance or 
the supply cord is damaged, it must be replaced by the manufacturer, its service 
agent or similarly qualified person, in order to avoid hazard.
Always place the appliance on a flat, level surface.
Never leave the appliance unattended while connected to the supply mains.
The appliance must be switched off and the mains plug withdrawn each time after 
use, before cleaning and maintenance.
The appliance and accessories become hot during operation. Use only designated 
handles and knobs. Allow to cool down before or storage. The mains cable must 
not come into contact with any hot parts of the appliance.
Do not immerse the appliance in water or any other liquid. Do not exceed the 
maximum filling volume as indicated on the appliances. Do not use or place the 
appliance on a hot surface or near source of heat.
This appliance is intended to be used in household and similar applications such as:
– staff kitchen areas in shops, offices and other working environments,
– farm houses,
– by clients in hotels, motels and other residential type environments,
– bed and breakfast type environments.
The coffee maker shall not be placed in a cabinet when in use.
No action is needed to adapt the product to 50 or 60Hz.
The product will adjust itself.",What type of cleaners should not be used to clean the appliance?,['Never use caustic or abrasive\\ncleaners'],986
